woonplaats,gemeente,provincie
Muiderberg,Gooise Meren,Noord-Holland
Munnekeburen,Weststellingwerf,Friesland
Munnekezijl,Noardeast-Friesland,Friesland
Munstergeleen,Sittard-Geleen,Limburg
Muntendam,Midden-Groningen,Groningen
Mussel,Stadskanaal,Groningen
Musselkanaal,Stadskanaal,Groningen
Mûnein,Tytsjerksteradiel,Friesland
Naaldwijk,Westland,Zuid-Holland
Naarden,Gooise Meren,Noord-Holland
Nagele,Noordoostpolder,Flevoland
Nederasselt,Heumen,Gelderland
Nederhemert,Zaltbommel,Gelderland
Nederhorst den Berg,Wijdemeren,Noord-Holland
Nederland,Steenwijkerland,Overijssel
Nederweert,Nederweert,Limburg
Nederweert-Eind,Nederweert,Limburg
Neede,Berkelland,Gelderland
Neer,Leudal,Limburg
Neerijnen,West Betuwe,Gelderland
Neeritter,Leudal,Limburg
Neerkant,Deurne,Noord-Brabant
Neerlangel,Oss,Noord-Brabant
Neerloon,Oss,Noord-Brabant
Nes,Noardeast-Friesland,Friesland
Nes,Heerenveen,Friesland
Nes,Ameland,Friesland
Netersel,Bladel,Noord-Brabant
Netterden,Oude IJsselstreek,Gelderland
Nibbixwoud,Medemblik,Noord-Holland
Niebert,Westerkwartier,Groningen
Niehove,Westerkwartier,Groningen
Niekerk,Het Hogeland,Groningen
Niekerk,Westerkwartier,Groningen
Nietap,Noordenveld,Drenthe
Nieuw Annerveen,Aa en Hunze,Drenthe
Nieuw Beerta,Oldambt,Groningen
Nieuw Scheemda,Oldambt,Groningen
Nieuw- en Sint Joosland,Middelburg,Zeeland
Nieuw-Amsterdam,Emmen,Drenthe
Nieuw-Balinge,Midden-Drenthe,Drenthe
Nieuw-Beijerland,Hoeksche Waard,Zuid-Holland
Nieuw-Buinen,Borger-Odoorn,Drenthe
Nieuw-Dordrecht,Emmen,Drenthe
Nieuw-Heeten,Raalte,Overijssel
Nieuw-Lekkerland,Molenlanden,Zuid-Holland
Nieuw-Namen,Hulst,Zeeland
Nieuw-Roden,Noordenveld,Drenthe
Nieuw-Schoonebeek,Emmen,Drenthe
Nieuw-Vennep,Haarlemmermeer,Noord-Holland
Nieuw-Vossemeer,Steenbergen,Noord-Brabant
Nieuw-Weerdinge,Emmen,Drenthe
Nieuwaal,Zaltbommel,Gelderland
Nieuwdorp,Borsele,Zeeland
Nieuwe Niedorp,Hollands Kroon,Noord-Holland
Nieuwe Pekela,Pekela,Groningen
Nieuwe Wetering,Kaag en Braassem,Zuid-Holland
Nieuwe-Tonge,Goeree-Overflakkee,Zuid-Holland
Nieuwebrug,Heerenveen,Friesland
Nieuwediep,Aa en Hunze,Drenthe
Nieuwegein,Nieuwegein,Utrecht
Nieuwehorne,Heerenveen,Friesland
Nieuwendijk,Altena,Noord-Brabant
Nieuwer Ter Aa,Stichtse Vecht,Utrecht
Nieuwerbrug aan den Rijn,Bodegraven-Reeuwijk,Zuid-Holland
Nieuwerkerk,Schouwen-Duiveland,Zeeland
Nieuwerkerk aan den IJssel,Zuidplas,Zuid-Holland
Nieuweroord,Midden-Drenthe,Drenthe
Nieuweroord,Hoogeveen,Drenthe
Nieuwersluis,Stichtse Vecht,Utrecht
Nieuweschoot,Heerenveen,Friesland
Nieuwkoop,Nieuwkoop,Zuid-Holland
Nieuwkuijk,Heusden,Noord-Brabant
Nieuwland,Vijfheerenlanden,Utrecht
Nieuwlande,Hoogeveen,Drenthe
Nieuwlande Coevorden,Coevorden,Drenthe
Nieuwleusen,Dalfsen,Overijssel
Nieuwolda,Oldambt,Groningen
Nieuwpoort,Molenlanden,Zuid-Holland
Nieuwstadt,Echt-Susteren,Limburg
Nieuwveen,Nieuwkoop,Zuid-Holland
Nieuwvliet,Sluis,Zeeland
Niezijl,Westerkwartier,Groningen
Niftrik,Wijchen,Gelderland
Nigtevecht,Stichtse Vecht,Utrecht
Nij Altoenae,Waadhoeke,Friesland
Nij Beets,Opsterland,Friesland
Nijbroek,Voorst,Gelderland
Nijeberkoop,Ooststellingwerf,Friesland
Nijega,Smallingerland,Friesland
Nijehaske,De Fryske Marren,Friesland
Nijeholtpade,Weststellingwerf,Friesland
Nijeholtwolde,Weststellingwerf,Friesland
Nijelamer,Weststellingwerf,Friesland
Nijemirdum,De Fryske Marren,Friesland
Nijensleek,Westerveld,Drenthe
Nijetrijne,Weststellingwerf,Friesland
Nijeveen,Meppel,Drenthe
Nijewier,Noardeast-Friesland,Friesland
Nijhuizum,Súdwest-Friesland,Friesland
Nijkerk,Nijkerk,Gelderland
Nijkerkerveen,Nijkerk,Gelderland
Nijland,Súdwest-Friesland,Friesland
Nijlande,Aa en Hunze,Drenthe
Nijmegen,Nijmegen,Gelderland
Nijverdal,Hellendoorn,Overijssel
Nispen,Roosendaal,Noord-Brabant
Nisse,Borsele,Zeeland
Nistelrode,Bernheze,Noord-Brabant
Noardburgum,Tytsjerksteradiel,Friesland
Nooitgedacht,Aa en Hunze,Drenthe
Noorbeek,Eijsden-Margraten,Limburg
Noord-Scharwoude,Dijk en Waard,Noord-Holland
Noord-Sleen,Coevorden,Drenthe
Noordbeemster,Purmerend,Noord-Holland
Noordbroek,Midden-Groningen,Groningen
Noordeinde,Alkmaar,Noord-Holland
Noordeinde Gld,Oldebroek,Gelderland
Noordeloos,Molenlanden,Zuid-Holland
Noorden,Nieuwkoop,Zuid-Holland
Noordgouwe,Schouwen-Duiveland,Zeeland
Noordhoek,Moerdijk,Noord-Brabant
Noordhorn,Westerkwartier,Groningen
Noordlaren,Groningen,Groningen
Noordscheschut,Hoogeveen,Drenthe
Noordwelle,Schouwen-Duiveland,Zeeland
Noordwijk,Westerkwartier,Groningen
Noordwijk,Noordwijk,Zuid-Holland
Noordwijkerhout,Noordwijk,Zuid-Holland
Noordwolde,Het Hogeland,Groningen
Noordwolde,Weststellingwerf,Friesland
Nootdorp,Pijnacker-Nootdorp,Zuid-Holland
Norg,Noordenveld,Drenthe
Notter,Wierden,Overijssel
Nuenen,"Nuenen, Gerwen en Nederwetten",Noord-Brabant
Nuis,Westerkwartier,Groningen
Nuland,s-Hertogenbosch,Noord-Brabant
Numansdorp,Hoeksche Waard,Zuid-Holland
Nunhem,Leudal,Limburg
Nunspeet,Nunspeet,Gelderland
Nuth,Beekdaelen,Limburg
Nutter,Dinkelland,Overijssel
Obbicht,Sittard-Geleen,Limburg
Obdam,Koggenland,Noord-Holland
Ochten,Neder-Betuwe,Gelderland
Odijk,Bunnik,Utrecht
Odiliapeel,Maashorst,Noord-Brabant
Odoorn,Borger-Odoorn,Drenthe
Odoornerveen,Borger-Odoorn,Drenthe
Oeffelt,Land van Cuijk,Noord-Brabant
Oegstgeest,Oegstgeest,Zuid-Holland
Oene,Epe,Gelderland
Oentsjerk,Tytsjerksteradiel,Friesland
Offingawier,Súdwest-Friesland,Friesland
Ohé en Laak,Maasgouw,Limburg
Oijen,Oss,Noord-Brabant
Oirlo,Venray,Limburg
Oirsbeek,Beekdaelen,Limburg
Oirschot,Oirschot,Noord-Brabant
Oisterwijk,Oisterwijk,Noord-Brabant
Okkenbroek,Deventer,Overijssel
Olburgen,Bronckhorst,Gelderland
Oldeberkoop,Ooststellingwerf,Friesland
Oldebroek,Oldebroek,Gelderland
Oldeholtpade,Weststellingwerf,Friesland
Oldeholtwolde,Weststellingwerf,Friesland
Oldehove,Westerkwartier,Groningen
Oldekerk,Westerkwartier,Groningen
Oldelamer,Weststellingwerf,Friesland
Oldemarkt,Steenwijkerland,Overijssel
Oldenzaal,Oldenzaal,Overijssel
Oldenzijl,Het Hogeland,Groningen
Oldeouwer,De Fryske Marren,Friesland
Oldetrijne,Weststellingwerf,Friesland
Olst,Olst-Wijhe,Overijssel
Olterterp,Opsterland,Friesland
Ommel,Asten,Noord-Brabant
Ommen,Ommen,Overijssel
Ommeren,Buren,Gelderland
Onderdendam,Het Hogeland,Groningen
Onna,Steenwijkerland,Overijssel
Onnen,Groningen,Groningen
Onstwedde,Stadskanaal,Groningen
Ooij,Berg en Dal,Gelderland
Ooltgensplaat,Goeree-Overflakkee,Zuid-Holland
Oost West en Middelbeers,Oirschot,Noord-Brabant
Oost-Graftdijk,Alkmaar,Noord-Holland
Oost-Souburg,Vlissingen,Zeeland
Oostburg,Sluis,Zeeland
Oostdijk,Reimerswaal,Zeeland
Oosteind,Oosterhout,Noord-Brabant
Oosterbeek,Renkum,Gelderland
Oosterbierum,Waadhoeke,Friesland
Oosterblokker,Drechterland,Noord-Holland
Oosterend,Terschelling,Friesland
Oosterend,Texel,Noord-Holland
Oosterhesselen,Coevorden,Drenthe
Oosterhout,Oosterhout,Noord-Brabant
Oosterhout,Overbetuwe,Gelderland
Oosterland,Schouwen-Duiveland,Zeeland
Oosterleek,Drechterland,Noord-Holland
Oosternieland,Het Hogeland,Groningen
Oosterstreek,Weststellingwerf,Friesland
Oosterwijk,Vijfheerenlanden,Utrecht
Oosterwijtwerd,Eemsdelta,Groningen
Oosterwolde,Ooststellingwerf,Friesland
Oosterwolde,Oldebroek,Gelderland
Oosterzee,De Fryske Marren,Friesland
Oosthem,Súdwest-Friesland,Friesland
Oosthuizen,Edam-Volendam,Noord-Holland
Oostkapelle,Veere,Zeeland
Oostknollendam,Wormerland,Noord-Holland
Oostrum,Venray,Limburg
Oostvoorne,Voorne aan Zee,Zuid-Holland
Oostwold,Westerkwartier,Groningen
Oostwold,Oldambt,Groningen
Oostwoud,Medemblik,Noord-Holland
Oostzaan,Oostzaan,Noord-Holland
Ootmarsum,Dinkelland,Overijssel
Opeinde,Smallingerland,Friesland
Opende,Westerkwartier,Groningen
Ophemert,West Betuwe,Gelderland
Opheusden,Neder-Betuwe,Gelderland
Opijnen,West Betuwe,Gelderland
Oploo,Land van Cuijk,Noord-Brabant
Opmeer,Opmeer,Noord-Holland
Oppenhuizen,Súdwest-Friesland,Friesland
Opperdoes,Medemblik,Noord-Holland
Oranje,Midden-Drenthe,Drenthe
Oranjewoud,Heerenveen,Friesland
Orvelte,Midden-Drenthe,Drenthe
Ospel,Nederweert,Limburg
Oss,Oss,Noord-Brabant
Ossendrecht,Woensdrecht,Noord-Brabant
Ossenisse,Hulst,Zeeland
Ossenwaard,Vijfheerenlanden,Utrecht
Ossenzijl,Steenwijkerland,Overijssel
Oterleek,Alkmaar,Noord-Holland
Otterlo,Ede,Gelderland
Ottersum,Gennep,Limburg
Ottoland,Molenlanden,Zuid-Holland
Oud Ade,Kaag en Braassem,Zuid-Holland
Oud Annerveen,Aa en Hunze,Drenthe
Oud Gastel,Halderberge,Noord-Brabant
Oud Ootmarsum,Dinkelland,Overijssel
Oud Zuilen,Stichtse Vecht,Utrecht
Oud-Alblas,Molenlanden,Zuid-Holland
Oud-Beijerland,Hoeksche Waard,Zuid-Holland
Oud-Vossemeer,Tholen,Zeeland
Ouddorp,Goeree-Overflakkee,Zuid-Holland
Oude Meer,Haarlemmermeer,Noord-Holland
Oude Niedorp,Hollands Kroon,Noord-Holland
Oude Pekela,Pekela,Groningen
Oude Wetering,Kaag en Braassem,Zuid-Holland
Oude Willem,Westerveld,Drenthe
Oude-Tonge,Goeree-Overflakkee,Zuid-Holland
Oudebildtzijl,Waadhoeke,Friesland
Oudega,De Fryske Marren,Friesland
Oudega,Súdwest-Friesland,Friesland
Oudega,Smallingerland,Friesland
Oudehaske,De Fryske Marren,Friesland
Oudehorne,Heerenveen,Friesland
Oudelande,Borsele,Zeeland
Oudemirdum,De Fryske Marren,Friesland
Oudemolen,Moerdijk,Noord-Brabant
Oudemolen,Tynaarlo,Drenthe
Oudenbosch,Halderberge,Noord-Brabant
Oudendijk,Koggenland,Noord-Holland
Oudenhoorn,Voorne aan Zee,Zuid-Holland
Ouderkerk aan de Amstel,Ouder-Amstel,Noord-Holland
Ouderkerk aan den IJssel,Krimpenerwaard,Zuid-Holland
Oudeschans,Westerwolde,Groningen
Oudeschild,Texel,Noord-Holland
Oudeschip,Het Hogeland,Groningen
Oudeschoot,Heerenveen,Friesland
Oudesluis,Schagen,Noord-Holland
Oudewater,Oudewater,Utrecht
Oudezijl,Oldambt,Groningen
Oudheusden,Heusden,Noord-Brabant
Oudkarspel,Dijk en Waard,Noord-Holland
Oudkarspel,Schagen,Noord-Holland
Oudorp,Alkmaar,Noord-Holland
Ouwerkerk,Schouwen-Duiveland,Zeeland
Ouwster-Nijega,De Fryske Marren,Friesland
Ouwsterhaule,De Fryske Marren,Friesland
Overasselt,Heumen,Gelderland
Overberg,Utrechtse Heuvelrug,Utrecht
Overdinkel,Losser,Overijssel
Overlangel,Oss,Noord-Brabant
Overloon,Land van Cuijk,Noord-Brabant
Overschild,Midden-Groningen,Groningen
Overslag,Terneuzen,Zeeland
Overveen,Bloemendaal,Noord-Holland
Ovezande,Borsele,Zeeland
Paasloo,Steenwijkerland,Overijssel
Pannerden,Zevenaar,Gelderland
Panningen,Peel en Maas,Limburg
Papekop,Oudewater,Utrecht
Papendrecht,Papendrecht,Zuid-Holland
Papenhoven,Sittard-Geleen,Limburg
Papenvoort,Aa en Hunze,Drenthe
Parrega,Súdwest-Friesland,Friesland
Paterswolde,Tynaarlo,Drenthe
Peazens,Noardeast-Friesland,Friesland
Peest,Noordenveld,Drenthe
Peins,Waadhoeke,Friesland
Peize,Noordenveld,Drenthe
Peperga,Weststellingwerf,Friesland
Pernis Rotterdam,Rotterdam,Zuid-Holland
Persingen,Berg en Dal,Gelderland
Pesse,Hoogeveen,Drenthe
Pesse,Westerveld,Drenthe
Petten,Schagen,Noord-Holland
Philippine,Terneuzen,Zeeland
Piaam,Súdwest-Friesland,Friesland
Piershil,Hoeksche Waard,Zuid-Holland
Pieterburen,Het Hogeland,Groningen
Pietersbierum,Waadhoeke,Friesland
Pieterzijl,Westerkwartier,Groningen
Pijnacker,Pijnacker-Nootdorp,Zuid-Holland
Pingjum,Súdwest-Friesland,Friesland
Plasmolen,Mook en Middelaar,Limburg
Poederoijen,Zaltbommel,Gelderland
Poeldijk,Westland,Zuid-Holland
Polsbroek,Lopik,Utrecht
Poortugaal,Albrandswaard,Zuid-Holland
Poortvliet,Tholen,Zeeland
Poppenwier,Súdwest-Friesland,Friesland
Posterholt,Roerdalen,Limburg
Prinsenbeek,Breda,Noord-Brabant
Puiflijk,Druten,Gelderland
Punthorst,Staphorst,Overijssel
Purmer,Waterland,Noord-Holland
Purmer,Edam-Volendam,Noord-Holland
Purmerend,Purmerend,Noord-Holland
Purmerland,Landsmeer,Noord-Holland
Puth,Beekdaelen,Limburg
Putte,Woensdrecht,Noord-Brabant
Putten,Putten,Gelderland
Puttershoek,Hoeksche Waard,Zuid-Holland
Raalte,Raalte,Overijssel
Raamsdonk,Geertruidenberg,Noord-Brabant
Raamsdonksveer,Geertruidenberg,Noord-Brabant
Raard,Noardeast-Friesland,Friesland
Radewijk,Hardenberg,Overijssel
Radio Kootwijk,Apeldoorn,Gelderland
Raerd,Súdwest-Friesland,Friesland
Randwijk,Overbetuwe,Gelderland
Ransdaal,Voerendaal,Limburg
Rasquert,Het Hogeland,Groningen
Ravenstein,Oss,Noord-Brabant
Ravenswaaij,Buren,Gelderland
Ravenswoud,Ooststellingwerf,Friesland
Readtsjerk,Dantumadiel,Friesland
Reahûs,Súdwest-Friesland,Friesland
Reduzum,Leeuwarden,Friesland
Reek,Maashorst,Noord-Brabant
Reeuwijk,Bodegraven-Reeuwijk,Zuid-Holland
Reeve,Kampen,Overijssel
Reijmerstok,Gulpen-Wittem,Limburg
Reitsum,Noardeast-Friesland,Friesland
Rekken,Berkelland,Gelderland
Renesse,Schouwen-Duiveland,Zeeland
Renkum,Renkum,Gelderland
Renswoude,Renswoude,Utrecht
Ressen,Lingewaard,Gelderland
Retranchement,Sluis,Zeeland
Reusel,Reusel-De Mierden,Noord-Brabant
Reutum,Tubbergen,Overijssel
Reuver,Beesel,Limburg
Rha,Bronckhorst,Gelderland
Rheden,Rheden,Gelderland
Rhee,Assen,Drenthe
Rheeze,Hardenberg,Overijssel
Rheezerveen,Hardenberg,Overijssel
Rhenen,Rhenen,Utrecht
Rhenoy,West Betuwe,Gelderland
Rhoon,Albrandswaard,Zuid-Holland
Ridderkerk,Ridderkerk,Zuid-Holland
Ried,Waadhoeke,Friesland
Riel,Goirle,Noord-Brabant
Rien,Súdwest-Friesland,Friesland
Riethoven,Bergeijk,Noord-Brabant
Rietmolen,Berkelland,Gelderland
Rijen,Gilze en Rijen,Noord-Brabant
Rijkevoort,Land van Cuijk,Noord-Brabant
Rijkevoort-De Walsert,Land van Cuijk,Noord-Brabant
Rijnsaterwoude,Kaag en Braassem,Zuid-Holland
Rijnsburg,Katwijk,Zuid-Holland
Rijpwetering,Kaag en Braassem,Zuid-Holland
Rijs,De Fryske Marren,Friesland
Rijsbergen,Zundert,Noord-Brabant
Rijsenhout,Haarlemmermeer,Noord-Holland
Rijssen,Rijssen-Holten,Overijssel
Rijswijk,Rijswijk,Zuid-Holland
Rijswijk (GLD),Buren,Gelderland
Rijswijk (NB),Altena,Noord-Brabant
Rilland,Reimerswaal,Zeeland
Rinsumageast,Dantumadiel,Friesland
Ritthem,Vlissingen,Zeeland
Rockanje,Voorne aan Zee,Zuid-Holland
Roden,Noordenveld,Drenthe
Roderesch,Noordenveld,Drenthe
Roderwolde,Noordenveld,Drenthe
Roelofarendsveen,Kaag en Braassem,Zuid-Holland
Roermond,Roermond,Limburg
Rogat,Meppel,Drenthe
Roggel,Leudal,Limburg
Rohel,De Fryske Marren,Friesland
Rolde,Aa en Hunze,Drenthe
Roodeschool,Het Hogeland,Groningen
Roosendaal,Roosendaal,Noord-Brabant
Roosteren,Echt-Susteren,Limburg
Rosmalen,s-Hertogenbosch,Noord-Brabant
Rossum,Dinkelland,Overijssel
Rossum,Maasdriel,Gelderland
Roswinkel,Emmen,Drenthe
Rotstergaast,De Fryske Marren,Friesland
Rotsterhaule,De Fryske Marren,Friesland
Rotterdam,Rotterdam,Zuid-Holland
Rotterdam-Albrandswaard,Albrandswaard,Zuid-Holland
Rottevalle,Smallingerland,Friesland
Rottum,De Fryske Marren,Friesland
Rottum,Het Hogeland,Groningen
Rouveen,Staphorst,Overijssel
Rozenburg,Rotterdam,Zuid-Holland
Rozenburg,Haarlemmermeer,Noord-Holland
Rozendaal,Rozendaal,Gelderland
Rucphen,Rucphen,Noord-Brabant
Ruigahuizen,De Fryske Marren,Friesland
Ruinen,De Wolden,Drenthe
Ruinen,Westerveld,Drenthe
Ruinerwold,De Wolden,Drenthe
Rumpt,West Betuwe,Gelderland
Rutten,Noordoostpolder,Flevoland
Ruurlo,Berkelland,Gelderland
Ryptsjerk,Tytsjerksteradiel,Friesland
Saaksum,Westerkwartier,Groningen
Saasveld,Dinkelland,Overijssel
Saaxumhuizen,Het Hogeland,Groningen
Sambeek,Land van Cuijk,Noord-Brabant
Sandfirden,Súdwest-Friesland,Friesland
Santpoort-Noord,Velsen,Noord-Holland
Santpoort-Zuid,Velsen,Noord-Holland
Sappemeer,Midden-Groningen,Groningen
Sas van Gent,Terneuzen,Zeeland
Sassenheim,Teylingen,Zuid-Holland
Sauwerd,Het Hogeland,Groningen
Schagen,Schagen,Noord-Holland
Schagerbrug,Schagen,Noord-Holland
Schaijk,Maashorst,Noord-Brabant
Schalkhaar,Deventer,Overijssel
Schalkwijk,Houten,Utrecht
Schalsum,Waadhoeke,Friesland
Schardam,Edam-Volendam,Noord-Holland
Scharendijke,Schouwen-Duiveland,Zeeland
Scharmer,Midden-Groningen,Groningen
Scharnegoutum,Súdwest-Friesland,Friesland
Scharsterbrug,De Fryske Marren,Friesland
Scharwoude,Koggenland,Noord-Holland
Scheemda,Oldambt,Groningen
Scheerwolde,Steenwijkerland,Overijssel
Schellinkhout,Drechterland,Noord-Holland
Schelluinen,Molenlanden,Zuid-Holland
Schermerhorn,Alkmaar,Noord-Holland
Scherpenisse,Tholen,Zeeland
Scherpenzeel,Weststellingwerf,Friesland
Scherpenzeel,Scherpenzeel,Gelderland
Schettens,Súdwest-Friesland,Friesland
Scheulder,Eijsden-Margraten,Limburg
Schiedam,Schiedam,Zuid-Holland
Schiermonnikoog,Schiermonnikoog,Friesland
Schijf,Rucphen,Noord-Brabant
Schijndel,Meierijstad,Noord-Brabant
Schildwolde,Midden-Groningen,Groningen
Schimmert,Beekdaelen,Limburg
Schin op Geul,Valkenburg aan de Geul,Limburg
Schinnen,Beekdaelen,Limburg
Schinveld,Beekdaelen,Limburg
Schipborg,Aa en Hunze,Drenthe
Schiphol,Haarlemmermeer,Noord-Holland
Schiphol-Rijk,Haarlemmermeer,Noord-Holland
Schipluiden,Midden-Delfland,Zuid-Holland
Schokland,Noordoostpolder,Flevoland
Schoondijke,Sluis,Zeeland
Schoonebeek,Emmen,Drenthe
Schoonhoven,Krimpenerwaard,Zuid-Holland
Schoonloo,Aa en Hunze,Drenthe
Schoonoord,Coevorden,Drenthe
Schoonrewoerd,Vijfheerenlanden,Utrecht
Schoorl,Bergen,Noord-Holland
Schore,Kapelle,Zeeland
Schouwerzijl,Het Hogeland,Groningen
Schraard,Súdwest-Friesland,Friesland
Schuinesloot,Hardenberg,Overijssel
Sebaldeburen,Westerkwartier,Groningen
Sellingen,Westerwolde,Groningen
Serooskerke,Veere,Zeeland
Serooskerke,Schouwen-Duiveland,Zeeland
Sevenum,Horst aan de Maas,Limburg
Sexbierum,Waadhoeke,Friesland
Sibculo,Hardenberg,Overijssel
Sibculo,Twenterand,Overijssel
Sibrandabuorren,Súdwest-Friesland,Friesland
Sibrandahûs,Dantumadiel,Friesland
Siddeburen,Midden-Groningen,Groningen
Siebengewald,Bergen,Limburg
Siegerswoude,Opsterland,Friesland
Sijbekarspel,Medemblik,Noord-Holland
Silvolde,Oude IJsselstreek,Gelderland
Simonshaven,Nissewaard,Zuid-Holland
Simpelveld,Simpelveld,Limburg
Sinderen,Oude IJsselstreek,Gelderland
Sint Agatha,Land van Cuijk,Noord-Brabant
Sint Annen,Groningen,Groningen
Sint Anthonis,Land van Cuijk,Noord-Brabant
Sint Geertruid,Eijsden-Margraten,Limburg
Sint Hubert,Land van Cuijk,Noord-Brabant
Sint Jansklooster,Steenwijkerland,Overijssel
Sint Jansteen,Hulst,Zeeland
Sint Joost,Echt-Susteren,Limburg
Sint Kruis,Sluis,Zeeland
Sint Maarten,Schagen,Noord-Holland
Sint Maartensbrug,Schagen,Noord-Holland
Sint Maartensvlotbrug,Schagen,Noord-Holland
Sint Nicolaasga,De Fryske Marren,Friesland
Sint Odiliënberg,Roerdalen,Limburg
Sint Pancras,Dijk en Waard,Noord-Holland
Sint Philipsland,Tholen,Zeeland
Sint-Annaland,Tholen,Zeeland
Sint-Maartensdijk,Tholen,Zeeland
Sint-Michielsgestel,Sint-Michielsgestel,Noord-Brabant
Sint-Oedenrode,Meierijstad,Noord-Brabant
Sintjohannesga,De Fryske Marren,Friesland
Sirjansland,Schouwen-Duiveland,Zeeland
Sittard,Sittard-Geleen,Limburg
Skingen,Waadhoeke,Friesland
Slagharen,Hardenberg,Overijssel
Slappeterp,Waadhoeke,Friesland
Sleen,Coevorden,Drenthe
Sleeuwijk,Altena,Noord-Brabant
Slenaken,Gulpen-Wittem,Limburg
Sliedrecht,Sliedrecht,Zuid-Holland
Slijk-Ewijk,Overbetuwe,Gelderland
Slijkenburg,Weststellingwerf,Friesland
Slochteren,Midden-Groningen,Groningen
Slootdorp,Hollands Kroon,Noord-Holland
Sloten,De Fryske Marren,Friesland
Sluis,Sluis,Zeeland
Sluiskil,Terneuzen,Zeeland
Smakt,Venray,Limburg
Smalle Ee,Smallingerland,Friesland
Smallebrugge,Súdwest-Friesland,Friesland
Smilde,Midden-Drenthe,Drenthe
Snakkerburen,Leeuwarden,Friesland
Sneek,Súdwest-Friesland,Friesland
Snelrewaard,Oudewater,Utrecht
Snikzwaag,De Fryske Marren,Friesland
Soerendonk,Cranendonck,Noord-Brabant
Soest,Soest,Utrecht
Soesterberg,Soest,Utrecht
Someren,Someren,Noord-Brabant
Sommelsdijk,Goeree-Overflakkee,Zuid-Holland
Son en Breugel,Son en Breugel,Noord-Brabant
Sondel,De Fryske Marren,Friesland
Sonnega,Weststellingwerf,Friesland
Spaarndam,Haarlemmermeer,Noord-Holland
Spaarndam gem. Haarlem,Haarlem,Noord-Holland
Spanbroek,Opmeer,Noord-Holland
Spanga,Weststellingwerf,Friesland
Spankeren,Rheden,Gelderland
Spannum,Waadhoeke,Friesland
Spaubeek,Beek,Limburg
Spier,Westerveld,Drenthe
Spier,Midden-Drenthe,Drenthe
Spierdijk,Koggenland,Noord-Holland
Spijk,Zevenaar,Gelderland
Spijk,West Betuwe,Gelderland
Spijk Gn,Eemsdelta,Groningen
Spijkenisse,Nissewaard,Zuid-Holland
Spijkerboor,Wormerland,Noord-Holland
Spijkerboor,Aa en Hunze,Drenthe
Sprang-Capelle,Waalwijk,Noord-Brabant
Sprundel,Rucphen,Noord-Brabant
Spui,Terneuzen,Zeeland
St. Willebrord,Rucphen,Noord-Brabant
St.-Annaparochie,Waadhoeke,Friesland
St.-Jacobiparochie,Waadhoeke,Friesland
Stad aan 't Haringvliet,Goeree-Overflakkee,Zuid-Holland
Stadskanaal,Stadskanaal,Groningen
Stampersgat,Halderberge,Noord-Brabant
Standdaarbuiten,Moerdijk,Noord-Brabant
Staphorst,Staphorst,Overijssel
Starnmeer,Alkmaar,Noord-Holland
Startenhuizen,Eemsdelta,Groningen
Startenhuizen,Het Hogeland,Groningen
Stavenisse,Tholen,Zeeland
Stavoren,Súdwest-Friesland,Friesland
Stedum,Eemsdelta,Groningen
Steenbergen,Noordenveld,Drenthe
Steenbergen,Steenbergen,Noord-Brabant
Steendam,Midden-Groningen,Groningen
Steenderen,Bronckhorst,Gelderland
Steenenkamer,Voorst,Gelderland
Steensel,Eersel,Noord-Brabant
Steenwijk,Steenwijkerland,Overijssel
Steenwijkerwold,Steenwijkerland,Overijssel
Stegeren,Ommen,Overijssel
Steggerda,Weststellingwerf,Friesland
Stein,Stein,Limburg
Stellendam,Goeree-Overflakkee,Zuid-Holland
Sterksel,Heeze-Leende,Noord-Brabant
Stevensbeek,Land van Cuijk,Noord-Brabant
Stevensweert,Maasgouw,Limburg
Steyl,Venlo,Limburg
Stieltjeskanaal,Coevorden,Drenthe
Stiens,Leeuwarden,Friesland
Stitswerd,Het Hogeland,Groningen
Stokkum,Montferland,Gelderland
Stolwijk,Krimpenerwaard,Zuid-Holland
Stompetoren,Alkmaar,Noord-Holland
Stoutenburg,Leusden,Utrecht
Stoutenburg Noord,Amersfoort,Utrecht
Stramproy,Weert,Limburg
Streefkerk,Molenlanden,Zuid-Holland
Striep,Terschelling,Friesland
Strijbeek,Alphen-Chaam,Noord-Brabant
Strijen,Hoeksche Waard,Zuid-Holland
Strijensas,Hoeksche Waard,Zuid-Holland
Stroe,Barneveld,Gelderland
Stroobos,Achtkarspelen,Friesland
Stuifzand,Hoogeveen,Drenthe
Stuifzand,Midden-Drenthe,Drenthe
Sumar,Tytsjerksteradiel,Friesland
Surhuisterveen,Achtkarspelen,Friesland
Surhuizum,Achtkarspelen,Friesland
Susteren,Echt-Susteren,Limburg
Suwâld,Tytsjerksteradiel,Friesland
Swalmen,Roermond,Limburg
Sweagerbosk,Noardeast-Friesland,Friesland
Sweikhuizen,Beekdaelen,Limburg
Swichum,Leeuwarden,Friesland
Swifterbant,Dronten,Flevoland
Swolgen,Horst aan de Maas,Limburg
Taarlo,Tynaarlo,Drenthe
Teeffelen,Oss,Noord-Brabant
Teerns,Leeuwarden,Friesland
Tegelen,Venlo,Limburg
Ten Boer,Groningen,Groningen
Ten Post,Groningen,Groningen
Ter Aar,Nieuwkoop,Zuid-Holland
Ter Aard,Assen,Drenthe
Ter Apel,Westerwolde,Groningen
